,KMB,HRL,RF,WDC,MSI,DRE,AMD,KO,NFLX,NTAP,returns,vol,sharp
0,0.312260194170918,0.08255948043016682,0.0,1.1167282376600696e-17,0.037916519300779696,0.0,8.239936510889834e-18,0.5158465530861946,0.0,0.051417253011940764,0.12,0.15057240707799752,0.796958767736503
1,0.3104778266034116,0.09048619735854097,0.0,0.0,0.04150898604066648,1.3877787807814457e-17,1.2685165418080402e-17,0.5075978360624246,0.0,0.049929153934956234,0.12115577889447236,0.15025853625470892,0.8063154474571523
2,0.30871920357600097,0.0984208157985404,3.2526065174565133e-18,3.577867169202165e-18,0.04508299257927717,0.0,0.0,0.4993499112086943,1.1167282376600696e-17,0.0484270768374872,0.12231155778894472,0.14996437452720718,0.8156040938026546
3,0.30703574143433016,0.1062151735079372,8.673617379884035e-19,8.185726402265558e-18,0.04880446823904616,3.5236570605778894e-18,8.294146619514109e-18,0.4909669082355394,0.0,0.04697770858314709,0.12346733668341708,0.14969014937650502,0.8248193832238649
4,0.3057001445022495,0.11491958478802011,4.5188784219543296e-17,0.0,0.051245591666936374,2.2149911570699954e-19,0.0,0.4826832479054245,2.1730630261809075e-18,0.04545143113736955,0.12462311557788944,0.1494353426791348,0.8339601150811975
5,0.3039450885670126,0.12265975212392599,0.0,3.1374100366299285e-18,0.055063824649875595,0.0,0.0,0.47436464967809616,7.31158840069912e-18,0.04396668498108978,0.1257788944723618,0.14920109558995825,0.843015890567141
6,0.3022681615547236,0.1303198325574352,0.0,0.0,0.058956267131673734,3.754050022231059e-18,3.848917712323541e-18,0.46603884183334093,0.0,0.04241689692282655,0.12693467336683417,0.14898701598233627,0.8519848023661566
7,0.30056062976819775,0.13711764364344486,0.0,0.0,0.06397352897815167,2.6020852139652106e-18,2.2849560785132006e-17,0.4581152672162568,0.0,0.040232930393948985,0.12809045226130653,0.14879379382295524,0.86085883671813
8,0.29933744208706586,0.14235715202238444,0.0,6.640738306473715e-18,0.06574129358829407,0.0,1.870248747537495e-18,0.4526812606208444,0.0010526992636114413,0.0388301524177997,0.12924623115577888,0.14861894977955917,0.8696483950901611
9,0.29861944735538776,0.14616913728610498,0.0,0.0,0.06610097883331577,4.336808689942018e-18,4.174178364069192e-18,0.44805359000413353,0.0027341908437123193,0.03832265567734571,0.13040201005025126,0.14845452291085523,0.8783970167655705
10,0.2977428229581551,0.1490593732569608,3.2526065174565133e-18,0.0,0.06738546969980552,4.336808689942018e-18,0.0,0.44406739384849964,0.004483029570906802,0.03726191066567223,0.1315577889447236,0.14829957429894863,0.8871083384199323
11,0.29679024609777516,0.15205019744921927,2.3744027577432547e-17,0.0,0.0687406427355591,0.0,0.0,0.4400388032054858,0.006196414630421185,0.03618369588153957,0.13271356783919597,0.14815357705815,0.8957837567911449
12,0.29572592664637554,0.15516821803504233,1.5720931501039814e-17,1.8431436932253575e-18,0.07019318622910291,3.7947076036992655e-19,0.0,0.43603441009900823,0.007865034952615377,0.03501322403785568,0.13386934673366835,0.14801651490621826,0.9044216911774108
13,0.2945998864894846,0.15837872347953413,0.0,1.3715157481941631e-17,0.07170165728882219,0.0,0.0,0.43214373378261295,0.009503427747651554,0.03367257121189458,0.1350251256281407,0.14788840438774262,0.91302036956274
14,0.29357461535568,0.16157309334407152,0.0,0.0,0.07314993794190348,0.0,1.1655173354219173e-17,0.42835925697876487,0.011151797014230417,0.03219129936534981,0.13618090452261306,0.14776933641809817,0.9215775601597287
15,0.2927382706199572,0.16472001324988636,0.0,0.0,0.07447972932492385,2.222614453595284e-18,0.0,0.42453519522766053,0.01282277392308233,0.03070401765448989,0.13733668341708544,0.1476593837784633,0.9300911320552087
16,0.29244657138726254,0.1667111965412454,3.0357660829594124e-17,0.0,0.07609484391998983,5.312590645178972e-18,0.0,0.4203840625552771,0.014694774012314513,0.029668551583910557,0.1384924623115578,0.14755921637996372,0.9385551489711147
17,0.2916640401890111,0.17023217292123333,2.2524300133386355e-17,0.0,0.07736275140104212,0.0,1.7672495411513722e-17,0.4164411727039671,0.016276191217630746,0.028023671567115684,0.13964824120603014,0.14746732745374463,0.9469775008286696
18,0.2903998433021204,0.17421567912236996,1.8865117801247777e-17,9.107298248878237e-18,0.07828547778116839,0.0,0.0,0.41257273690611407,0.01784301256670164,0.026683250321525614,0.1408040201005025,0.14738431208387953,0.9553528330774306
19,0.2889701591799447,0.17726236146494137,0.0,6.396792817664476e-18,0.07966454371225828,7.562310153086393e-18,3.3610267347050637e-18,0.4085966351535259,0.019571866878676653,0.025934433610653247,0.14195979899497488,0.14731079930763782,0.9636754376609679
20,0.28750282386069836,0.18104565523422328,0.0,0.0,0.08014154417428725,5.44811591673966e-18,0.0,0.40464032977727393,0.021295952399625555,0.02537369455389172,0.14311557788944723,0.14724606310843796,0.9719484166041922
21,0.2870416360571458,0.18342212905995792,0.0,0.0,0.08183646511785139,1.2414114874959026e-17,3.577867169202165e-18,0.4004669028293305,0.023063380538710963,0.024169486397003483,0.14427135678391959,0.1471912618425973,0.9801625108574707
22,0.2854158580169748,0.18763680082574363,0.0,2.168404344971009e-19,0.08202904008037774,9.486769009248164e-18,8.185726402265558e-18,0.39703264085802226,0.02474843157691601,0.023137228641965678,0.14542713567839194,0.14714475414400957,0.9883270152877036
23,0.2845542401543286,0.1905515582561478,0.0,9.215718466126788e-19,0.08342138117778569,3.1604493327952454e-17,7.37257477290143e-18,0.3929943376926217,0.026467389062790142,0.022011093656325902,0.14658291457286432,0.14710803270777928,0.9964303911537036
