,returns, Adj Close
ETM,-0.1677018500170928,1.340000033378601
NL,-0.1337386207666208,2.8499999046325684
ODP,-0.11764714132130372,2.0999999046325684
SIEB,-0.11498255639887245,5.079999923706055
FNCB,-0.11092434765869741,5.289999961853027
MR,-0.10632913195538662,3.5299999713897705
RUBY,-0.10558073514623512,5.929999828338623
NEXT,-0.10483870502565207,2.2200000286102295
TH,-0.10285711288452148,1.5700000524520874
FLNT,-0.09890113273056667,1.6399999856948853
EVC,-0.09868419607920642,1.3700000047683716
SVRA,-0.09836064164147051,2.75
MNLO,-0.09793817093628443,1.75
EGLE,-0.09704632563754334,2.140000104904175
RMTI,-0.09595962393443147,1.7899999618530273
RIGL,-0.09359602989604598,1.840000033378601
CNTY,-0.08968611927044345,4.059999942779541
RYAM,-0.08949417317037622,2.3399999141693115
ESTE,-0.08881578431400228,2.7699999809265137
OSG,-0.0880828817123247,1.7599999904632568
