Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Marlon Davidson,DL,Auburn,College Stats,3-Jun,303,5.04,,21,,,,
Ashtyn Davis,S,California,College Stats,1-Jun,202,,,14,,,,
Carlos Davis,DL,Nebraska,College Stats,2-Jun,313,4.82,,27,,,4.52,
Gabriel Davis,WR,UCF,College Stats,2-Jun,216,4.54,35,14,124,7.08,4.59,
Javaris Davis,CB,Auburn,College Stats,8-May,183,4.39,35.5,11,124,,,
Khalil Davis,DL,Nebraska,College Stats,1-Jun,308,4.75,,32,,,,
Quartney Davis,WR,Texas A&M,College Stats,1-Jun,201,4.54,35.5,,,,,
Raekwon Davis,DL,Alabama,College Stats,6-Jun,311,5.12,28,24,111,7.95,4.86,
Akeem Davis-Gaither,LB,Appalachian St.,College Stats,1-Jun,224,,,21,,,,
Josiah Deguara,TE,Cincinnati,College Stats,2-Jun,242,4.72,35.5,25,115,7.15,4.35,
Grant Delpit,S,LSU,College Stats,2-Jun,213,,,,,,,
Trevon Diggs,CB,Alabama,College Stats,1-Jun,205,,,,,,,
AJ Dillon,RB,Boston College,College Stats,Jun-00,247,4.53,41,23,131,7.19,,
Michael Divinity,LB,LSU,College Stats,2-Jun,242,4.85,31,14,115,,,
J.K. Dobbins,RB,Ohio St.,College Stats,9-May,209,,,23,,,,
Rico Dowdle,RB,South Carolina,College Stats,11-May,213,4.54,38,,127,,,
Jack Driscoll,OL,Auburn,College Stats,5-Jun,306,5.02,29.5,23,114,,,
Kyle Dugger,S,Lenoir-Rhyne,,1-Jun,217,4.49,42,17,134,,,
Yasir Durant,OL,Missouri,College Stats,6-Jun,331,5.52,25,21,,,,
Devin Duvernay,WR,Texas,College Stats,10-May,200,4.39,35.5,,123,7.13,4.2,
Troy Dye,LB,Oregon,College Stats,3-Jun,231,,,,,,,
Jacob Eason,QB,Washington,College Stats,6-Jun,231,4.89,27.5,,110,7.5,4.75,
Bryan Edwards,WR,South Carolina,College Stats,3-Jun,212,,,,,,,
Clyde Edwards-Helaire,RB,LSU,College Stats,7-May,207,4.6,39.5,15,123,,,
Jalen Elliott,S,Notre Dame,College Stats,Jun-00,205,4.8,34,15,125,6.87,4.3,
Jordan Elliott,DL,Missouri,College Stats,4-Jun,302,5.02,27.5,24,,,4.73,
A.J. Epenesa,DL,Iowa,College Stats,5-Jun,275,5.04,32.5,17,117,7.34,4.46,
Darrynton Evans,RB,Appalachian St.,College Stats,10-May,203,4.41,37,20,125,,,
Blake Ferguson,LS,LSU,College Stats,3-Jun,229,5.07,31,,112,7.43,4.52,
Chris Finke,WR,Notre Dame,College Stats,9-May,186,4.57,40,7,,,,
Leki Fotu,DL,Utah,College Stats,5-Jun,330,5.15,,21,,,,
Jake Fromm,QB,Georgia,College Stats,2-Jun,219,5.01,30,,111,7.27,4.51,
Aaron Fuller,WR,Washington,College Stats,11-May,188,4.59,34,,118,7.14,,
Jordan Fuller,S,Ohio St.,College Stats,2-Jun,203,4.67,35.5,,122,,4.27,
Kristian Fulton,CB,LSU,College Stats,Jun-00,197,4.46,35.5,,123,6.94,4.36,
Tipa Galeai,LB,Utah St.,College Stats,5-Jun,235,,,,,,,
Neville Gallimore,DL,Oklahoma,College Stats,2-Jun,304,4.79,,23,,7.97,5.01,
Antonio Gandy-Golden,WR,Liberty,College Stats,4-Jun,223,4.6,36,22,127,7.33,4.55,
Cale Garrett,LB,Missouri,College Stats,2-Jun,234,4.92,32,,124,6.91,4.13,
Jonathan Garvin,DL,Miami,College Stats,4-Jun,263,4.82,36,23,125,,,
Antonio Gibson,WR,Memphis,College Stats,Jun-00,228,4.39,35,16,118,,,
Alohi Gilman,S,Notre Dame,College Stats,10-May,201,4.6,32,17,119,6.81,4.08,
Trevis Gipson,DL,Tulsa,College Stats,3-Jun,261,,,25,,,,
Jeff Gladney,CB,TCU,College Stats,10-May,191,4.48,37.5,17,124,7.26,,
Anthony Gordon,QB,Washington St.,College Stats,2-Jun,205,,,,,,,
A.J. Green,CB,Oklahoma St.,College Stats,1-Jun,202,4.62,,13,,,,
Jonathan Greenard,DL,Florida,College Stats,3-Jun,263,4.87,30.5,22,113,7.13,4.34,
Yetur Gross-Matos,DL,Penn St.,College Stats,5-Jun,266,,34,20,120,,,
Javelin Guidry,CB,Utah,College Stats,9-May,191,4.29,,21,,,,
Stephen Guidry,WR,Mississippi St.,College Stats,3-Jun,201,4.47,34,,125,7.31,4.46,
Bryce Hall,CB,Virginia,College Stats,1-Jun,202,,,11,,,,
DaVon Hamilton,DL,Ohio St.,College Stats,4-Jun,320,5.14,29.5,33,102,7.72,,
LaDarius Hamilton,DL,North Texas,College Stats,2-Jun,262,4.89,30,27,114,7.66,4.49,
KJ Hamler,WR,Penn St.,College Stats,9-May,178,,,15,,,,
Harrison Hand,CB,Temple,College Stats,11-May,197,4.52,41,14,133,7.15,4.27,
Jake Hanson,OL,Oregon,College Stats,4-Jun,303,5.5,,33,,,,
Nick Harris,OL,Washington,College Stats,1-Jun,302,5.1,29.5,20,103,,,
Scoota Harris,LB,Arkansas,College Stats,Jun-00,234,4.69,33,18,111,7.38,4.32,
Malik Harrison,LB,Ohio St.,College Stats,3-Jun,247,4.66,36,,122,6.83,4.32,
JaMycal Hasty,RB,Baylor,College Stats,8-May,205,4.55,39,15,123,,4.03,
Jaylinn Hawkins,S,California,College Stats,1-Jun,208,,35.5,,117,,,
Charlie Heck,OL,North Carolina,College Stats,8-Jun,311,5.16,28,21,112,8.02,4.86,
C.J. Henderson,CB,Florida,College Stats,1-Jun,204,4.39,37.5,20,127,,,
Matt Hennessy,OL,Temple,College Stats,4-Jun,307,5.18,30,23,110,7.45,4.6,
Justin Herbert,QB,Oregon,College Stats,6-Jun,236,4.68,35.5,,123,7.06,4.46,
Brian Herrien,RB,Georgia,College Stats,11-May,209,4.62,38.5,18,126,7.12,4.4,
Justin Herron,OL,Wake Forest,College Stats,4-Jun,308,5.26,33,27,105,8.41,4.88,
Tee Higgins,WR,Clemson,College Stats,4-Jun,216,,,,,,,
Alex Highsmith,DL,Charlotte,College Stats,3-Jun,248,4.7,33,,125,7.32,4.31,
John Hightower,WR,Boise St.,College Stats,1-Jun,189,4.43,38.5,,122,7.07,4.21,
K.J. Hill,WR,Ohio St.,College Stats,Jun-00,196,4.6,32.5,17,114,,,
Lavert Hill,CB,Michigan,College Stats,10-May,190,,,21,,,,
Trevon Hill,DL,Miami,College Stats,3-Jun,248,4.89,28,,113,,,
Isaiah Hodgins,WR,Oregon St.,College Stats,4-Jun,210,4.61,36.5,9,124,7.01,4.12,
Sterling Hofrichter,P,Syracuse,College Stats,10-May,196,,,,,,,
Darnay Holmes,CB,UCLA,College Stats,10-May,195,4.48,,12,,,,
Brycen Hopkins,TE,Purdue,College Stats,4-Jun,245,4.66,33.5,21,116,7.25,4.28,
Khaleke Hudson,LB,Michigan,College Stats,11-May,224,4.56,33,30,120,,,
Robert Hunt,OL,Louisiana-Lafayette,College Stats,5-Jun,323,,,,,,,
Jalen Hurts,QB,Oklahoma,College Stats,1-Jun,222,4.59,35,,125,,,
Noah Igbinoghene,CB,Auburn,College Stats,10-May,198,4.48,37,15,128,,,
Brian Cole II,S,Mississippi St.,College Stats,2-Jun,213,4.52,,,,,,
