,sharp,returns,vol,NVDA,INCY,TSLA,XLNX,ALGN,CERN,LRCX,XEL,SWKS,MU
0,1.2067915045656068,0.29001198700682274,0.24031656330826975,0.06745653901197143,0.14529783572578298,0.17697352419527543,0.09535489651480569,0.04912645894071125,0.14348023255292142,0.12095105270107562,0.14614866108813637,0.04587562253386515,0.00933517673545464
1,1.0589656153519316,0.2552134371220631,0.24100257215362628,0.17551223577284147,0.17071133415792525,0.009449866957661628,0.14405618918440147,0.002983743393835473,0.11480266340878394,0.11382518161443476,0.1740814013378654,0.008870008097082606,0.0857073760751679
2,1.0730111278819725,0.2735495003971792,0.25493631267099837,0.14159433865007634,0.05541299259098438,0.0889602134725728,0.15679552919571565,0.08834116164055532,0.15478172587388128,0.09094667144781729,0.07985104436577538,0.003698273285142006,0.1396180494774795
3,1.1624474838158714,0.2810327617944097,0.24175953383449755,0.15187816803950197,0.10655630903951936,0.04239605453112856,0.06481986246617728,0.16970970336058483,0.04827749087276249,0.17445389477791307,0.19862146966862967,0.027238106381078618,0.016048940862704152
4,1.048760564708112,0.2733243903738082,0.2606165788183302,0.034730351027833964,0.13740975050008294,0.006284155837819503,0.021242254592219227,0.28642876988381627,0.192500737491166,0.09984326383728415,0.07582216050397032,0.13120629185495816,0.014532264470849423
5,1.0858891152124284,0.3161277942871933,0.29112345805708756,0.051351350684615826,0.09495509040747882,0.15893700179058243,0.005694888561489307,0.15033424143383053,0.05543731777953346,0.14110511220015315,0.0500226694353519,0.10116749601953044,0.19099483168743406
6,1.1275263519561574,0.2708675759470744,0.2402317032122073,0.04439659595834772,0.14042731099983674,0.09337677308926462,0.1659130143274357,0.07269338404077394,0.11854761093557524,0.04009457726591098,0.13441975385684393,0.1392754353128078,0.050855544213203506
7,1.1130934482237635,0.2844728294634204,0.2555695839530566,0.10664831015453179,0.13693681485020437,0.06086084689293668,0.13539617328049228,0.10325421872918408,0.0008147953853979429,0.1426992803228172,0.14626864555783173,0.0835222409903419,0.08359867383626206
8,1.121112670193954,0.27286992338701055,0.24339206097796012,0.07972249117616281,0.06441598748517008,0.12263584164224178,0.0671848436075559,0.06640475748519341,0.15542716093621467,0.15783354443781453,0.15025251175729676,0.022250793541619632,0.11387206793073038
9,1.0797096029732909,0.2805939880439913,0.2598791260828792,0.033797170498708166,0.11687438110212515,0.1267928641434659,0.05523116110269476,0.024418100433190995,0.08904467472755068,0.1146905782509578,0.14970682706160274,0.12049474676172649,0.16894949591797725
10,1.1991844644422438,0.29528678223022575,0.24623966619478135,0.04133889326642339,0.13930208877594472,0.14902048548693014,0.1552103873903513,0.16409879042212397,0.07259841780457314,0.07497934868739685,0.12991989983031552,0.06564332861060174,0.007888359725339224
11,1.0832698527304014,0.266855904191201,0.24634296202242292,0.06745734768106974,0.07264391213180021,0.05669587056673984,0.03882414101849338,0.11892512386476706,0.15127048645853342,0.040636590944105495,0.16545096435960427,0.1708961294169822,0.1171994335579043
12,1.134728646626351,0.27155396076732713,0.23931180513921205,0.05306034774801588,0.15726224449620102,0.08311735490314565,0.09301171680965481,0.07354065718885425,0.11633736571177786,0.10773180674217632,0.15771525045363025,0.08795366128838118,0.07026959465816261
13,1.1978965359591633,0.28787633333118623,0.24031819501062487,0.09313872842939422,0.03913073636882028,0.1453341566538323,0.03408312108053661,0.17957633749888716,0.16331813573787515,0.04237839820117901,0.18178802916734318,0.06551459240198973,0.05573776446014239
14,1.095217863812309,0.283568652649125,0.2589152916681435,0.15735934170820468,0.18655045725377126,0.0503610596331191,0.13638634195875524,0.05673110131451821,0.1455641375755575,0.029645095568987794,0.05182542569659492,0.14282678719078185,0.04275025209970956
15,1.0542545320434569,0.28344268698874375,0.26885602895094796,0.04618905238897823,0.08291974246593985,0.09796996548706015,0.11462155708251638,0.14962561601764587,0.15508224286676894,0.03617571162861233,0.034551917641042915,0.12444834283660273,0.15841585158483265
16,1.1190678571134447,0.29373739118417963,0.2624839855036621,0.17615381076823766,0.12900190396729055,0.019232565744895066,0.0585461789289894,0.19653834680952414,0.019064100255118132,0.1632238947916902,0.13450801886365524,0.06453992783576254,0.03919125203483712
17,1.1321290583627428,0.29827272144726147,0.26346176634545193,0.06216359587114034,0.021463867854780824,0.18356461329304266,0.15962410747452307,0.1121896581656072,0.01016313485103286,0.22021702955867917,0.13491156813159863,0.03364434978449401,0.06205807501510136
18,1.1413998206658065,0.30889350144006783,0.2706269055306866,0.18592359118132737,0.1305909468653105,0.09856873738145772,0.0589476790202083,0.1886508454918145,0.15464822888739108,0.03380446712677223,0.023950174067791725,0.03379751353500726,0.09111781644291926
19,1.2035547481662652,0.2835965692295077,0.23563246263752866,0.09257281724345495,0.08835199107348435,0.14345382394958112,0.1277619625759664,0.12555528501094426,0.14584585663475133,0.12582075093960035,0.14094427598762527,0.006484181942864859,0.0032090546417271448
20,1.1456839910458827,0.27374858925251955,0.2389390018469381,0.032542866547978916,0.22643467145364155,0.09015468391640763,0.004734991552059056,0.10880845884248871,0.19223475918611693,0.04202601978130038,0.17272678271649425,0.057620340825076624,0.07271642517843611
21,1.1392484866732033,0.32069164809348005,0.28149403035851595,0.12177415420986877,0.002809690889230013,0.23290055390485057,0.05243826938519793,0.07416756458101587,0.0761649754155668,0.24123562036083918,0.07966963413368644,0.07850294378157265,0.04033659333817175
22,1.092663524516805,0.2823669835599538,0.25842080130278117,0.04952478081603918,0.1685565042481523,0.02415492041930711,0.04972426766128208,0.1653752404270595,0.015569183249750197,0.17188283386956085,0.15660990171686623,0.1642649285546,0.03433743903738255
