,returns,vol,NVDA,INCY,TSLA,XLNX,ALGN,CERN,LRCX,XEL,SWKS,MU
0,0.159,0.16892920400662684,4.285940122816593e-17,0.0,7.23901130342604e-18,0.1031099999503146,0.0,0.22963472868373627,0.0,0.6672552713659491,3.558009769283657e-18,3.018072133553045e-17
1,0.16001005025125628,0.16851403998104342,0.0,0.0,2.5017835122452902e-17,0.12895615773063665,0.0,0.2102628646705092,0.0,0.6607809775988542,0.0,1.6262902579632454e-17
2,0.16102010050251256,0.1683328022171849,0.0,0.004663514466612285,8.384881798833602e-18,0.13327477986288339,0.0,0.20351420525086636,2.123614252729814e-18,0.658547500419638,0.0,8.683037396267116e-18
3,0.16203015075376884,0.1681896839455163,2.0999858393586225e-19,0.009592060462382113,0.0002745451946343462,0.133650284941561,4.726074674033905e-18,0.1984598647724247,1.592046210494674e-17,0.6580232446289979,0.0,1.1032153477576058e-18
4,0.16304020100502511,0.16806734139764284,0.0,0.011177933411407935,0.0024593733218640636,0.13197448440715176,8.067837111104305e-18,0.1956737504995552,5.74796837007532e-19,0.6587144583600211,1.4029491687668467e-17,0.0
5,0.16405025125628142,0.1679555079213473,2.6504821272476327e-17,0.012474697637100495,0.004646399662569401,0.13227262920449928,0.0,0.19418476570494775,0.0,0.6564215077908832,1.801471061490917e-17,0.0
6,0.1650603015075377,0.16785524389405773,0.0,0.013921797249762183,0.006829377568936526,0.13166315283650848,0.0,0.19229311238610788,0.0,0.6552925599586849,1.0312512621025326e-17,4.8070327656811055e-18
7,0.16607035175879398,0.16776630634048253,0.0,0.015346950098714215,0.009037878061443393,0.1310346236882086,1.391664516791569e-17,0.19084798603652348,0.0,0.6537325621151104,0.0,1.540342895400282e-17
8,0.16708040201005026,0.16768879968812989,0.0,0.01677550038541656,0.011256518660098516,0.13031302667402678,3.474574504245458e-18,0.18952042358878324,0.0,0.652134530691675,3.540686971685906e-18,3.5264234235377925e-18
9,0.16809045226130653,0.16762205586249218,1.222598898618431e-17,0.01827553997212087,0.013388205814087863,0.12977290330940316,0.0,0.18698046953363176,9.443022659034092e-18,0.6515828813707564,8.667140479349153e-18,0.0
10,0.1691005025125628,0.16756673671846775,0.0,0.01977564757340199,0.01553438701760848,0.1291495460767608,1.0820535054144724e-17,0.18468237154531472,1.7748932852426836e-17,0.650858047786914,0.0,6.629739779255578e-18
11,0.1701105527638191,0.16752274983819887,0.0,0.02129647560185382,0.017675241164660495,0.1284869662592916,1.2385828772652874e-18,0.18243285947881333,0.0,0.6501084574953807,3.1908532300911547e-18,0.0
12,0.17112060301507537,0.1674901106677993,3.1637733088755702e-18,0.022862145083491704,0.019802945908640023,0.1277674548516849,0.0,0.1803199988916637,0.0,0.6492474552645198,2.1561776348566264e-18,0.0
13,0.17213065326633165,0.16746887658388138,2.0951644432988704e-18,0.024552941763981526,0.021886308641515282,0.1269013910466734,0.0,0.17836233627600753,1.7068401045290744e-17,0.6482970222718222,2.263634060843534e-17,0.0
14,0.17314070351758795,0.16745872121102282,0.0,0.02573247646661201,0.024174964384195523,0.1264764695820787,4.401188694095107e-18,0.17611085356513909,0.0,0.6475052360019747,7.110432721717435e-18,0.0
15,0.17415075376884423,0.16746008176444244,0.0,0.027394823032028337,0.026265299522382782,0.12565700999772045,0.0,0.17405192646874862,7.647618885614752e-18,0.6466309409791198,1.0678669513433477e-18,5.8035085732010285e-18
16,0.1751608040201005,0.16747277939496966,0.0,0.028999455637985665,0.02838393453645546,0.12484662691596736,0.0,0.17200956431729486,0.0,0.6457604185922966,0.0,1.2616639167234064e-17
17,0.17617085427135679,0.167496783879949,0.0,0.03055927786374707,0.030522257620128043,0.12406796561863664,0.0,0.16997833777695714,0.0,0.6448721611205311,7.799589680637605e-18,8.602860341692872e-18
18,0.17718090452261306,0.16753212019741276,0.0,0.03211900773689805,0.03266243387903762,0.1232694175388497,1.858912263379433e-18,0.16794732859153494,0.0,0.6440018122536798,0.0,2.4250207722921454e-18
19,0.17819095477386934,0.16757821557253622,6.063173400474716e-18,0.032919225462932994,0.03509736638359162,0.12340115640471574,7.929425061792663e-18,0.16598782922988597,2.9745790852101086e-18,0.6425944225188736,1.3516639582708693e-18,0.0
20,0.17920100502512562,0.1676360172319495,0.0,0.03439896132543978,0.03726262448599194,0.12276227418489151,0.0,0.16395133682367488,3.0311321265425727e-18,0.641624803180002,4.4613339424030195e-18,0.0
21,0.18021105527638193,0.16770509733879935,0.0,0.03588110709791655,0.03942710184444573,0.12211830845273505,0.0,0.16191328347832754,0.0,0.6406601991265752,0.0,1.5478213908287704e-17
22,0.1812211055276382,0.16778544191226938,0.0,0.03736408701206079,0.04159164069788556,0.12146918329818032,0.0,0.15987551426563165,8.80273868109816e-18,0.6396995747262417,1.1777684650983769e-17,7.799851671549069e-18
23,0.18223115577889448,0.16787684565674194,4.364970566095422e-18,0.038662212168767994,0.04351493972321287,0.12070959857479291,0.0006442558054104495,0.15781029885226644,1.5414376379028562e-17,0.6386586948755494,7.980815233924823e-18,0.0
24,0.18324120603015076,0.16797802194878944,0.0,0.039753234406579206,0.0451695767489604,0.11983176881516037,0.002006798367003823,0.15572290562124105,0.0,0.6375157160410552,1.0938325072277792e-18,1.1409398864691122e-17
25,0.18425125628140704,0.1680887235843628,2.0057740190981832e-18,0.04084263357340796,0.0468150963876572,0.11894392118523087,0.003389699981761423,0.15363493733467867,0.0,0.6363737115372639,1.5365177663193008e-18,3.62021881656488e-18
